Day,Day_Focus,Exercise_Activity,Sets_x_Reps_Duration,Primary_Muscles_Target,Equipment_Needed,Alternative_Exercise,Intensity_Level,Estimated_Time_Minutes,Completion_Status,Notes_Modifications
Monday,Back + Biceps + Forearms,Lat Pulldown,3 sets x 12-15 reps,Latissimus Dorsi,Lat Pulldown Machine,Pull-ups/Assisted Pull-ups,Moderate,8-10,Not Started,
Monday,Back + Biceps + Forearms,Bent Over Row/Seated Row,3 sets x 12-15 reps,"Rhomboids, Mid Traps",Cable/DB/Seated Row,Bent Over DB Rows,Moderate,8-10,Not Started,
Monday,Back + Biceps + Forearms,Straight Arm Pulldown,2 sets x 12-15 reps,"Lats, Serratus",Cable Machine,DB Pullovers,Moderate,5-7,Not Started,
Monday,Back + Biceps + Forearms,Dumbbell Shrugs,3 sets x 12-15 reps,Upper Traps,Dumbbells,Resistance Band Shrugs,Moderate,5-7,Not Started,
Monday,Back + Biceps + Forearms,Back Extension,3 sets x 12-15 reps,Erector Spinae,Back Extension Bench,Superman/Good Mornings,Moderate,5-7,Not Started,
Monday,Back + Biceps + Forearms,Supination Curl (DB),3 sets x 12-15 reps,Biceps Brachii,Dumbbells,Resistance Band Curls,Moderate,8-10,Not Started,
Monday,Back + Biceps + Forearms,Hammer Curl,2 sets x 12-15 reps,"Brachialis, Biceps",Dumbbells,Neutral Grip Pull-ups,Moderate,5-7,Not Started,
Monday,Back + Biceps + Forearms,Concentration Curl,2 sets x 12-15 reps,Biceps Peak,Dumbbells/Preacher Bench,Single Arm Cable Curls,Moderate,5-7,Not Started,
Monday,Back + Biceps + Forearms,Barbell Bicep Curl,2 sets x 12-15 reps,Biceps Brachii,Barbell/Cable,Resistance Band Curls,Moderate,5-7,Not Started,
Monday,Back + Biceps + Forearms,Gorilla Gripper/Forearm Work,3 sets x 12-15 reps,Forearm Flexors,Grip Strengthener/DB,Stress Ball Squeezes,Moderate,5-7,Not Started,
Tuesday,Cardio + Abs (Machine Focus),Treadmill Warm-up,5 minutes,Cardiovascular,Treadmill,Walking/Dynamic Movement,Moderate,5,Not Started,
Tuesday,Cardio + Abs (Machine Focus),Elliptical Cardio,7 minutes,Full Body Cardio,Elliptical,Treadmill Incline,Moderate-High,7,Not Started,
Tuesday,Cardio + Abs (Machine Focus),Stationary Bike,5 minutes,Lower Body Cardio,Stationary Bike,Elliptical Low Intensity,Low-Moderate,5,Not Started,
Tuesday,Cardio + Abs (Machine Focus),Ab Crunch Machine,3 sets x 15-20 reps,Rectus Abdominis,Ab Crunch Machine,Decline Bench Sit-ups,Moderate,8-10,Not Started,
Tuesday,Cardio + Abs (Machine Focus),Captain's Chair,2 sets x 12-15 reps,"Lower Abs, Hip Flexors",Captain's Chair,Hanging Knee Raises,Moderate,5-7,Not Started,
Tuesday,Cardio + Abs (Machine Focus),Rowing Machine,5 minutes,Full Body + Core,Rowing Machine,Cable Row + Bike,High,5,Not Started,
Tuesday,Cardio + Abs (Machine Focus),Rotary Torso Machine,3 sets x 12-15 each side,Obliques,Rotary Torso Machine,Cable Wood Chops,Moderate,8-10,Not Started,
Tuesday,Cardio + Abs (Machine Focus),Decline Bench Crunches,2 sets x 15-20 reps,Rectus Abdominis,Decline Bench,Floor Crunches,Moderate,5-7,Not Started,
Wednesday,Chest + Triceps,Flat DB Press,3 sets x 12-15 reps,Pectoralis Major,DB + Bench,Push-ups/Floor Press,Moderate,8-10,Not Started,
Wednesday,Chest + Triceps,Incline DB Press,3 sets x 12-15 reps,Upper Chest,DB + Incline Bench,Incline Push-ups,Moderate,8-10,Not Started,
Wednesday,Chest + Triceps,Decline DB Press,3 sets x 12-15 reps,Lower Chest,DB + Decline Bench,Decline Push-ups,Moderate,8-10,Not Started,
Wednesday,Chest + Triceps,Pec Dec Fly,3 sets x 12-15 reps,Pectoralis Major,Pec Dec Machine,DB Flyes,Moderate,8-10,Not Started,
Wednesday,Chest + Triceps,Cable Crossover,3 sets x 12-15 reps,Inner Chest,Cable Machine,DB Flyes/Wide Push-ups,Moderate,8-10,Not Started,
Wednesday,Chest + Triceps,Push-ups,3 sets x 12-15 reps,"Chest, Triceps",Bodyweight,Various Push-up Variations,Moderate,8-10,Not Started,
Wednesday,Chest + Triceps,Bar Dips,3 sets x 12-15 reps,"Triceps, Lower Chest",Dip Station,Chair Dips,Moderate,8-10,Not Started,
Wednesday,Chest + Triceps,Tricep Pushdown,3 sets x 12-15 reps,Triceps Brachii,Cable Machine,Close Grip Push-ups,Moderate,8-10,Not Started,
Wednesday,Chest + Triceps,Cable Overhead Extension,3 sets x 12-15 reps,Long Head Triceps,Cable Machine,DB Overhead Extension,Moderate,8-10,Not Started,
Wednesday,Chest + Triceps,DB Tricep Extension,3 sets x 12-15 reps,Triceps Brachii,Dumbbells,Close Grip Push-ups,Moderate,8-10,Not Started,
Wednesday,Chest + Triceps,Tricep Press Machine,3 sets x 12-15 reps,Triceps Brachii,Tricep Press Machine,Close Grip Push-ups/Dips,Moderate,8-10,Not Started,
Thursday,Recovery + Stretching,Joint Mobility Warm-up,5 minutes,Joint Mobility,Bodyweight,Seated Joint Movements,Very Low,5,Not Started,
Thursday,Recovery + Stretching,Dynamic Stretching,5 minutes,Range of Motion,Open Space,Smaller Range Movements,Low,5,Not Started,
Thursday,Recovery + Stretching,Light Cardio,15 minutes,Cardiovascular,Cardio Machine,Walking in Place,Low-Moderate,15,Not Started,
Thursday,Recovery + Stretching,Neck Side Stretch,30 sec each side,"Neck, Upper Traps",Bodyweight,Use Towel for Assist,Very Low,2,Not Started,
Thursday,Recovery + Stretching,Shoulder Cross Stretch,30 sec each arm,Posterior Deltoid,Bodyweight,Hold Lighter/Less Time,Very Low,2,Not Started,
Thursday,Recovery + Stretching,Doorway Chest Stretch,45 seconds,Pectorals,Doorway,Use Resistance Band,Very Low,2,Not Started,
Thursday,Recovery + Stretching,Cat-Cow Stretch,10 reps,Spine Mobility,Floor/Mat,Smaller Range of Motion,Very Low,3,Not Started,
Thursday,Recovery + Stretching,Seated Spinal Twist,30 sec each side,Obliques,Floor/Chair,Sit in Chair,Very Low,2,Not Started,
Thursday,Recovery + Stretching,Hip Flexor Stretch,45 sec each leg,Hip Flexors,Floor/Mat,Use Block Under Knee,Very Low,3,Not Started,
Thursday,Recovery + Stretching,Standing Quad Stretch,30 sec each leg,Quadriceps,Bodyweight,Hold Wall for Balance,Very Low,2,Not Started,
Thursday,Recovery + Stretching,Seated Forward Fold + Cool Down,60 sec + 10 min cool down,"Hamstrings, Recovery",Floor/Mat,Bend Knees if Needed,Very Low,15,Not Started,
Friday,Legs + Shoulders (Heavy Day),Squats,3 sets x 12-15 reps,"Quadriceps, Glutes",Bodyweight/DB/BB,Goblet Squats,High,8-10,Not Started,
Friday,Legs + Shoulders (Heavy Day),Forward Lunges,2 sets x 12-15 each leg,"Quadriceps, Glutes",Bodyweight/DB,Step-ups,Moderate,5-7,Not Started,
Friday,Legs + Shoulders (Heavy Day),Reverse Lunges,2 sets x 12-15 each leg,"Glutes, Hamstrings",Bodyweight/DB,Bulgarian Split Squats,Moderate,5-7,Not Started,
Friday,Legs + Shoulders (Heavy Day),Leg Press,2 sets x 12-15 reps,Quadriceps,Leg Press Machine,Heavy Squats,High,5-7,Not Started,
Friday,Legs + Shoulders (Heavy Day),Leg Extension,2 sets x 12-15 reps,Quadriceps,Leg Extension Machine,Single Leg Squats,High,5-7,Not Started,
Friday,Legs + Shoulders (Heavy Day),Hip Thrust,3 sets x 12-15 reps,Glutes,Bodyweight/DB/BB,Glute Bridges,High,8-10,Not Started,
Friday,Legs + Shoulders (Heavy Day),Standing Calf Raise,3 sets x 12-15 reps,Gastrocnemius,Bodyweight/Machine,Single Leg Calf Raises,Moderate,8-10,Not Started,
Friday,Legs + Shoulders (Heavy Day),Seated Calf Raise,4 sets x 12-15 reps,Soleus,Calf Raise Machine,Single Leg Calf Raises,Moderate,10-12,Not Started,
Friday,Legs + Shoulders (Heavy Day),Leg Curl,2 sets x 12-15 reps,Hamstrings,Leg Curl Machine,Romanian Deadlifts,High,5-7,Not Started,
Friday,Legs + Shoulders (Heavy Day),Overhead Press DB,3 sets x 12-15 reps,Anterior Deltoids,Dumbbells,Pike Push-ups,Moderate,8-10,Not Started,
Friday,Legs + Shoulders (Heavy Day),Overhead Press BB,3 sets x 12-15 reps,Anterior Deltoids,Barbell,Pike Push-ups,Moderate,8-10,Not Started,
Friday,Legs + Shoulders (Heavy Day),Lateral Raise DB,2 sets x 12-15 reps,Medial Deltoids,Dumbbells,Lateral Arm Circles,Moderate,5-7,Not Started,
Friday,Legs + Shoulders (Heavy Day),Reverse Fly,2 sets x 12-15 reps,Posterior Deltoids,Cable/Machine,Bent Over Reverse Fly,Moderate,5-7,Not Started,
Friday,Legs + Shoulders (Heavy Day),External Rotation DB,2 sets x 12-15 reps,Rotator Cuff,Dumbbells,Resistance Band External Rotation,Moderate,5-7,Not Started,
Saturday,CrossFit + Cardio (High Intensity),Cardio Warm-up,5 minutes,Cardiovascular,Cardio Machine,Treadmill/Bike,Low,5,Not Started,
Saturday,CrossFit + Cardio (High Intensity),Movement Prep,10 minutes,Movement Prep,Open Space,Dynamic Stretching,Moderate,10,Not Started,
Saturday,CrossFit + Cardio (High Intensity),Burpees,30-60 seconds,Full Body,Bodyweight,Step-ups with Arms,High,3-5,Not Started,
Saturday,CrossFit + Cardio (High Intensity),Kettlebell Swings,30-60 seconds,"Glutes, Hamstrings",15-20kg Kettlebell,DB Romanian Deadlifts,High,3-5,Not Started,
Saturday,CrossFit + Cardio (High Intensity),Box Jumps,30-60 seconds,"Legs, Calves",20-24 inch Box,Step-ups,High,3-5,Not Started,
Saturday,CrossFit + Cardio (High Intensity),Push-ups,30-60 seconds,"Chest, Triceps",Bodyweight,Knee Push-ups,High,3-5,Not Started,
Saturday,CrossFit + Cardio (High Intensity),Mountain Climbers,30-60 seconds,"Core, Shoulders",Bodyweight,Running in Place,High,3-5,Not Started,
Saturday,CrossFit + Cardio (High Intensity),Squat Jumps,30-60 seconds,"Legs, Glutes",Bodyweight,Air Squats,High,3-5,Not Started,
Saturday,CrossFit + Cardio (High Intensity),Battle Ropes,30-60 seconds,Full Body,Battle Ropes,Fast Bicep Curls,High,3-5,Not Started,
Saturday,CrossFit + Cardio (High Intensity),Plank Hold,30-60 seconds,"Core, Shoulders",Bodyweight,Wall Sit,High,3-5,Not Started,
Saturday,CrossFit + Cardio (High Intensity),Dumbbell Thrusters,30-60 seconds,Full Body,8-15kg Dumbbells,Goblet Squats,High,3-5,Not Started,
Saturday,CrossFit + Cardio (High Intensity),Final Cardio Session,15 minutes,Cardiovascular,Any Cardio Machine,Walking/Elliptical,Moderate,15,Not Started,
Sunday,Complete Rest Day,Complete Rest,No activity,Recovery,None,Light Walking/Stretching,Rest,0,Not Started,
